id;code;date;details;status;payment_method;payment_date;payment_amount
1;Texas Concrete;2020-06-29T16:18:35;capability Loop Unbranded Frozen Towels;CANCELLED;CREDIT_CARD;2020-06-29T04:11:17;75071
2;Rhode Island bypassing SQL;2020-06-29T07:06:39;Frozen online streamline;ISSUED;CREDIT_CARD;2020-06-29T22:53:45;68011
3;lime program;2020-06-29T02:21:42;parse Horizontal Shirt;ISSUED;PAYPAL;2020-06-29T03:12:15;82892
4;Buckinghamshire Director Gloves;2020-06-29T06:52:25;Malagasy Ariary Dynamic;CANCELLED;CREDIT_CARD;2020-06-28T23:27:26;33894
5;attitude-oriented;2020-06-29T09:20:33;Integration structure;CANCELLED;PAYPAL;2020-06-29T11:28:03;72584
6;Internal Licensed Steel Towels RSS;2020-06-29T15:56:43;Chips;PAID;CREDIT_CARD;2020-06-29T16:52:23;90614
7;Toys Cotton;2020-06-29T08:26:04;Small Rubber Pants Brand Savings Account;ISSUED;CASH_ON_DELIVERY;2020-06-29T06:09:28;42722
8;Arizona Barbados Dollar;2020-06-29T16:55:46;tan Cambridgeshire Rubber;ISSUED;CREDIT_CARD;2020-06-29T13:59:14;44406
9;Generic Ethiopian Birr Assurance;2020-06-29T05:24:37;Arizona navigating navigating;ISSUED;CASH_ON_DELIVERY;2020-06-29T13:20:07;93110
10;Concrete;2020-06-29T22:08:23;paradigms system;PAID;CREDIT_CARD;2020-06-29T00:34:35;93817
