id;tracking_code;date;details;invoice_id
1;Mouse withdrawal;2020-06-29T00:30:19;payment unleash Jamaican Dollar;1
2;Rest;2020-06-29T19:46:49;Plains;2
3;Quality Plastic plum;2020-06-29T00:07:11;Minnesota parsing;3
4;Gorgeous Soft Hat Generic;2020-06-29T20:34:23;Architect SSL;4
5;zero tolerance;2020-06-29T17:30:42;user-facing CSS;5
6;ADP Ouguiya;2020-06-29T13:27:10;Garden;6
7;auxiliary;2020-06-29T21:43:10;functionalities Bedfordshire withdrawal;7
8;Data;2020-06-29T00:41:11;Viaduct hybrid;8
9;mesh;2020-06-29T23:06:50;human-resource Shoes Wooden;9
10;calculate value-added Metal;2020-06-29T21:05:44;Re-engineered withdrawal Ball;10
